filename,activity,X_mean,X_std,X_min,X_max,X_range,Y_mean,Y_std,Y_min,Y_max,Y_range,Z_mean,Z_std,Z_min,Z_max,Z_range,,,,,,,,,,
45_20260907161915.csv,0,0.000273438,0.000382509,-4.58E-05,0.001235962,0.001281738,-0.988873901,0.000563366,-0.989746094,-0.988204956,0.001541138,-0.120758667,0.000615267,-0.121704102,-0.120117188,0.001586914,,,,,,,,,,
46_20260907161928.csv,0,0.000377808,0.000368489,-0.000106812,0.000839233,0.000946045,-0.988970337,0.00087889,-0.990097046,-0.987716675,0.002380371,-0.120192871,0.001091008,-0.121490479,-0.119094849,0.00239563,,,,,,,,,,
47_20260907161940.csv,0,0.000796,0.000880603,-0.000564575,0.001800537,0.002365112,-0.988319397,0.000142218,-0.988479614,-0.98815918,0.000320435,-0.120580037,0.000624204,-0.12109375,-0.119689941,0.001403809,,,,,,,,,,
48_20260907161952.csv,0,0.001376953,0.000571785,0.000778198,0.002059937,0.001281738,-0.988305664,0.000308401,-0.989074707,-0.988021851,0.001052856,-0.120444336,0.000322098,-0.121307373,-0.120040894,0.001266479,,,,,,,,,,
49_20260907162004.csv,1,0.000893911,0.000846349,-0.000442505,0.001922607,0.002365112,-0.988809586,0.000537182,-0.989517212,-0.988052368,0.001464844,-0.121772766,0.000414083,-0.122314453,-0.120758057,0.001556396,,,,,,,,,,
50_20260907162017.csv,1,0.000338135,0.000779527,-0.000518799,0.001449585,0.001968384,-0.987728882,0.000600626,-0.988357544,-0.986846924,0.00151062,-0.120311279,0.000805176,-0.120986938,-0.118942261,0.002044678,,,,,,,,,,
51_20260907162029.csv,1,-0.000259399,0.000715983,-0.00112915,0.001449585,0.002578735,-0.987757365,0.00081108,-0.988998413,-0.986938477,0.002059937,-0.12015152,0.001275105,-0.121505737,-0.118377686,0.003128052,,,,,,,,,,
52_20260907162041.csv,1,2.32E-05,0.000701947,-0.000656128,0.001251221,0.001907349,-0.98829834,0.000561185,-0.989059448,-0.987747192,0.001312256,-0.120189209,0.000487377,-0.120803833,-0.11946106,0.001342773,,,,,,,,,,
53_20260907162054.csv,1,0.000271606,0.00084373,-0.000839233,0.001358032,0.002197266,-0.988030396,0.000639385,-0.989028931,-0.987014771,0.00201416,-0.120753784,0.000914526,-0.122421265,-0.119491577,0.002929688,,,,,,,,,,
54_20260907162106.csv,1,0.000736872,0.000924708,-0.000534058,0.001800537,0.002334595,-0.98916626,0.001794703,-0.991516113,-0.986846924,0.004669189,-0.120686849,0.000987414,-0.122421265,-0.119674683,0.002746582,,,,,,,,,,
55_20260907162118.csv,1,-0.000675049,0.001646019,-0.002853394,0.000976563,0.003829956,-0.988224487,0.000383107,-0.988998413,-0.987808228,0.001190186,-0.121931763,0.001166864,-0.12310791,-0.120346069,0.002761841,,,,,,,,,,
56_20260907162131.csv,1,-0.000710805,0.001097498,-0.002258301,0.000656128,0.002914429,-0.988337199,0.001043752,-0.98928833,-0.986755371,0.002532959,-0.122394562,0.00179884,-0.124908447,-0.120697021,0.004211426,,,,,,,,,,
57_20260907162143.csv,1,0.000809937,0.000783354,-0.001434326,0.001342773,0.0027771,-0.987988892,0.00056548,-0.988876343,-0.987319946,0.001556396,-0.120370483,0.000658033,-0.121414185,-0.119354248,0.002059937,,,,,,,,,,
58_20260907162155.csv,1,-0.000614166,0.001197023,-0.002304077,0.000854492,0.003158569,-0.98743248,0.000998629,-0.988876343,-0.986343384,0.002532959,-0.122021993,0.000912123,-0.123550415,-0.121383667,0.002166748,,,,Activity,Avg X,Avg Y,Avg Z,X Std,Y Std,Z Std
59_20260907162208.csv,1,0.000480347,0.001041462,-0.000717163,0.00189209,0.002609253,-0.988797607,0.000987073,-0.989868164,-0.987640381,0.002227783,-0.12194397,0.000622198,-0.122817993,-0.121109009,0.001708984,,,,No activity,-0.000225511,-0.988065101,-0.120307425,0.000650556,0.000718639,0.000759114
60_20260907162220.csv,1,4.58E-05,0.000596298,-0.000564575,0.001266479,0.001831055,-0.98859436,0.000401399,-0.989059448,-0.988098145,0.000961304,-0.12053833,0.000673205,-0.121643066,-0.119888306,0.001754761,,,,Waving,0.000270846,-0.98815668,-0.120811261,0.000768438,0.000669002,0.000843692
61_20260907162232.csv,1,0.00064977,0.000567783,-0.000274658,0.001266479,0.001541138,-0.988244375,0.000607841,-0.988677979,-0.987228394,0.001449585,-0.120826721,0.00066446,-0.121459961,-0.119949341,0.00151062,,,,Shaking,-0.016994311,-0.093614543,-0.096701313,0.996334241,0.40263095,0.429614175
62_20260907162244.csv,1,0.000578613,0.000705804,-0.000442505,0.001342773,0.001785278,-0.987580566,0.000807947,-0.988616943,-0.98664856,0.001968384,-0.120449219,0.000562549,-0.121246338,-0.119659424,0.001586914,,,,,,,,,,
63_20260907162257.csv,1,0.000477295,0.000446162,-6.10E-05,0.000976563,0.001037598,-0.988039551,0.000349836,-0.98878479,-0.987518311,0.001266479,-0.120767822,0.000536068,-0.121673584,-0.120269775,0.001403809,,,,,,,,,,
64_20260907162309.csv,1,0.000114441,0.000416569,-0.000335693,0.000946045,0.001281738,-0.988577525,0.000134153,-0.98878479,-0.988357544,0.000427246,-0.120567322,0.000303546,-0.120986938,-0.120223999,0.000762939,,,,,,,,,,
65_20260907162322.csv,1,0.000227661,0.000392177,-0.000335693,0.000671387,0.00100708,-0.988134155,0.001059029,-0.989822388,-0.987014771,0.002807617,-0.121166382,0.000493012,-0.12171936,-0.119613647,0.002105713,,,,,,,,,,
66_20260907162334.csv,1,0.00085144,0.001089054,-0.000259399,0.002319336,0.002578735,-0.987802124,0.000622143,-0.989685059,-0.987365723,0.002319336,-0.121262817,0.001104612,-0.122329712,-0.119613647,0.002716064,,,,,,,,,,
67_20260907162346.csv,1,0.000478745,0.000686001,-0.000259399,0.001449585,0.001708984,-0.98844401,0.000856583,-0.989685059,-0.986999512,0.002685547,-0.121576945,0.000707545,-0.122268677,-0.120498657,0.00177002,,,,,,,,,,
68_20260907162358.csv,1,0.000588735,0.000247268,-0.000259399,0.000808716,0.001068115,-0.988295873,0.000222557,-0.988525391,-0.987960815,0.000564575,-0.121318817,0.00076403,-0.122268677,-0.120376587,0.00189209,,,,,,,,,,
69_20260907162411.csv,1,0.000396118,0.000475854,-7.63E-05,0.001190186,0.001266479,-0.987924194,0.00038775,-0.988479614,-0.987503052,0.000976563,-0.120661011,0.000309214,-0.121109009,-0.120330811,0.000778198,,,,,,,,,,
70_20260907162423.csv,1,0.00069046,0.000667277,0,0.001586914,0.001586914,-0.987918854,0.000381224,-0.988327026,-0.987380981,0.000946045,-0.121131897,0.000531959,-0.121994019,-0.120635986,0.001358032,,,,,,,,,,
71_20260907162435.csv,1,0.000618286,0.000618391,-4.58E-05,0.001373291,0.001419067,-0.987814331,0.000749702,-0.988647461,-0.986679077,0.001968384,-0.120140381,0.001714782,-0.122360229,-0.117599487,0.004760742,,,,,,,,,,
72_20260907162447.csv,1,0.000132879,0.000797421,-0.00088501,0.001251221,0.00213623,-0.987108231,0.000556863,-0.988189697,-0.98664856,0.001541138,-0.12072436,0.000950731,-0.122116089,-0.119506836,0.002609253,,,,,,,,,,
73_20260907162500.csv,1,0.0006073,0.000946106,-0.000640869,0.001556396,0.002197266,-0.987746582,0.000867444,-0.989379883,-0.986633301,0.002746582,-0.120736084,0.00014301,-0.120819092,-0.120071411,0.000747681,,,,,,,,,,
74_20260907162512.csv,1,-0.00046936,0.001917824,-0.002960205,0.001968384,0.004928589,-0.988543701,0.001034967,-0.990463257,-0.987731934,0.002731323,-0.121061401,0.000965385,-0.122421265,-0.119812012,0.002609253,,,,,,,,,,
75_20260907162524.csv,1,0.000514984,0.00064891,-0.000457764,0.001251221,0.001708984,-0.988314311,0.0008479,-0.990463257,-0.987731934,0.002731323,-0.1205012,0.00093688,-0.122421265,-0.1199646,0.002456665,,,,,,,,,,
